id_camion,ciudad_origen,capacidad_maxima,valoracion,ciudad_destino,peso_carga,valor_carga,dimension_carga,requisitos,match
217,Antofagasta,34620,1,Concepcion,34543,173164059,48571.4786230726,0,1
246,Concepcion,32657,4,Concepcion,7708,8756288,41837.06059845956,0,0
375,Santiago,4094,5,Santiago,32,152160,99.69139405168632,0,0
814,Santiago,31649,2,Concepcion,20818,499632,16727.651194251222,0,1
180,Valparaiso,4968,2,Antofagasta,71,289183,481.4228019345197,0,1
295,Antofagasta,18007,3,Santiago,2891,1743273,27770.887372860616,1,1
228,Concepcion,45573,3,Concepcion,35950,36848750,274714.93638975185,0,0
793,Santiago,8809,3,Concepcion,964,8397404,697.253857188999,0,0
639,Valparaiso,20345,4,Concepcion,655,2771960,84.218032445966,0,0
812,Santiago,26423,1,Valparaiso,21899,130255252,64811.00400862995,0,1
419,Valparaiso,47307,4,Concepcion,15016,50063344,63112.8036216422,0,1
952,Concepcion,12059,3,Concepcion,4680,21331440,1646.3266553180308,0,0
162,Valparaiso,25487,2,Concepcion,3970,13255830,28405.744750566853,1,0
894,Santiago,28973,3,Valparaiso,22023,43781724,15916.33939200364,0,0
877,Santiago,41869,5,Santiago,30210,282795810,51715.5606117007,0,0
346,Concepcion,40116,3,Santiago,19022,56343164,125023.774497151,1,1
433,Santiago,29673,5,Concepcion,2273,14265348,4191.136758594589,0,1
384,Concepcion,27269,3,Santiago,3745,27559455,15917.563230052872,0,1
89,Concepcion,5725,4,Antofagasta,2595,19724595,4171.083786407584,0,0
935,Santiago,22205,2,Valparaiso,21351,189020403,42745.265051631,0,0
214,Antofagasta,9344,4,Antofagasta,7717,73882558,648.9964367620661,1,1
990,Valparaiso,10281,3,Antofagasta,720,3877200,3626.891456633235,0,1
214,Antofagasta,20,3,Santiago,17,1683,28.17178350972999,0,1
497,Concepcion,26022,1,Valparaiso,23949,219612330,58904.656793294045,0,1
339,Santiago,43506,3,Concepcion,23443,231101094,37676.32814830333,0,1
378,Concepcion,47284,3,Antofagasta,9722,94468674,61403.172722093535,0,0
945,Antofagasta,43140,2,Antofagasta,20247,172565181,764.659875568189,0,0
510,Antofagasta,24024,3,Valparaiso,22520,145907080,14058.898026951976,1,1
209,Santiago,49545,2,Santiago,2788,18545776,2077.339965503796,0,1
252,Valparaiso,33764,4,Santiago,32775,292582425,194258.7496389905,0,1
83,Valparaiso,15907,2,Antofagasta,11316,70396836,50593.33759495261,0,1
520,Antofagasta,29551,1,Concepcion,11778,88335000,22285.65159569776,0,0
859,Santiago,38559,5,Santiago,33236,40082616,206199.16058734554,0,1
908,Antofagasta,1102,1,Santiago,36,350532,32.39197131501155,0,1
637,Valparaiso,18995,5,Valparaiso,5540,13744740,14104.783682157919,1,1
587,Concepcion,22849,1,Santiago,10327,70388832,14434.689202497859,0,1
297,Antofagasta,156,1,Antofagasta,9,22671,34.95653152395664,0,0
531,Santiago,21187,4,Valparaiso,18919,176041295,95333.84158054074,0,1
726,Concepcion,42916,4,Santiago,20852,70584020,11340.136789071137,0,0
633,Concepcion,37042,5,Santiago,9954,19659150,8131.472496158228,0,1
930,Antofagasta,10682,2,Antofagasta,8361,78702093,24874.91629734471,0,0
494,Santiago,24556,5,Antofagasta,10153,44267080,55635.69916527734,0,1
763,Concepcion,27721,2,Valparaiso,11114,81287796,13252.917785175956,0,0
901,Antofagasta,33461,1,Valparaiso,20727,17452134,17450.361698271074,0,0
377,Antofagasta,25128,3,Valparaiso,8197,70756504,22851.96828245177,0,0
350,Valparaiso,20450,3,Santiago,2944,18650240,6243.700272981831,1,0
421,Valparaiso,11093,5,Valparaiso,7634,56277848,3066.284578907156,0,0
750,Concepcion,23078,2,Santiago,12357,81716841,31682.45364294183,0,0
135,Santiago,22051,2,Concepcion,13539,127537380,4611.553516595571,0,1
405,Concepcion,36,5,Santiago,23,193361,16.1576459006524,0,1
610,Antofagasta,38496,4,Concepcion,4008,39823488,10419.085837626884,0,1
376,Concepcion,31686,2,Concepcion,17673,147180744,39662.37604044379,0,1
314,Concepcion,23365,3,Antofagasta,15283,100363461,36597.15141664267,0,1
845,Valparaiso,34616,1,Santiago,17252,83051128,35992.825338467126,0,1
649,Santiago,26505,5,Valparaiso,7358,21242546,8768.350384327778,1,1
602,Antofagasta,20619,5,Concepcion,10955,105682885,1860.4514866257798,0,1
403,Concepcion,15803,5,Santiago,11218,75979514,70228.13274590232,0,0
299,Valparaiso,7497,5,Antofagasta,7420,43110200,10067.232971908483,0,0
256,Antofagasta,36030,1,Valparaiso,3212,13368344,7223.382771009465,0,0
90,Antofagasta,17284,3,Valparaiso,7678,25490960,22615.356622526913,0,1
789,Valparaiso,49020,4,Concepcion,14555,30405395,3566.9361947036123,0,0
581,Valparaiso,40116,5,Concepcion,15815,1771280,16007.483405194529,0,1
431,Concepcion,21726,2,Santiago,16162,87630364,51940.7312257508,0,1
133,Antofagasta,36741,4,Santiago,8020,53717960,36613.67203446774,1,0
216,Valparaiso,38688,1,Antofagasta,10182,53150040,37272.06937015504,0,1
170,Santiago,46760,3,Valparaiso,21075,133215075,131184.56238468672,1,0
272,Antofagasta,6201,1,Concepcion,1849,13519888,9812.596166366624,0,1
789,Concepcion,47085,3,Valparaiso,26343,93227877,148977.45261118963,0,1
717,Concepcion,42959,5,Antofagasta,27195,171899595,101127.67050410778,0,1
888,Santiago,24522,2,Santiago,24489,45671985,122429.15921504927,0,0
480,Concepcion,6973,3,Concepcion,527,2139093,1158.0746681911924,0,1
139,Antofagasta,26418,4,Santiago,17983,49740978,32224.721667470927,0,0
598,Antofagasta,12339,5,Concepcion,1449,10251675,1090.4320391084216,1,0
600,Valparaiso,16119,5,Valparaiso,11758,61129842,46903.831861622304,0,0
808,Santiago,12521,3,Concepcion,5449,47814975,21694.94087596658,0,0
919,Concepcion,47760,2,Valparaiso,17841,138303432,59423.512312721636,0,1
820,Santiago,7106,5,Santiago,3277,28365712,3360.442323662074,0,1
616,Valparaiso,33678,3,Antofagasta,18733,100071686,109126.34757076096,0,1
761,Santiago,7431,1,Valparaiso,5168,26398144,1470.189814313241,0,0
797,Valparaiso,45955,1,Valparaiso,42800,3766400,1789.2926161641722,0,0
68,Antofagasta,25092,4,Concepcion,13792,133065216,48851.72632732149,0,0
262,Concepcion,44277,2,Santiago,39562,40194992,6550.117327018137,0,1
225,Santiago,47797,2,Concepcion,25322,184673346,28424.78346323253,0,0
48,Valparaiso,47240,2,Concepcion,23985,26911170,46265.64380877603,0,0
273,Valparaiso,34869,2,Concepcion,10094,67912432,36494.98258747278,0,0
629,Antofagasta,47002,5,Santiago,1723,3812999,6795.1282695990885,0,1
16,Antofagasta,16649,3,Valparaiso,2364,20663724,516.3954088833888,1,1
460,Concepcion,46199,4,Antofagasta,42184,189701448,215328.38255637078,0,0
915,Santiago,19278,4,Valparaiso,4177,28261582,15472.034426830633,0,0
185,Concepcion,4418,2,Santiago,3947,10905561,3900.7886636934045,0,1
848,Valparaiso,15727,4,Antofagasta,5613,27593508,3271.7929596686545,0,1
461,Concepcion,34567,1,Valparaiso,16732,70592308,15742.748903658638,0,0
412,Valparaiso,2634,4,Santiago,1022,6806520,3515.8897918854077,0,0
995,Concepcion,48406,4,Concepcion,18469,2567191,100143.68325887523,0,0
